Date,금 (Close),금 (Volume)
2025-09-02,3549.39990234375,658
2025-09-03,3593.199951171875,72
2025-09-04,3565.800048828125,237
2025-09-05,3613.199951171875,925
2025-09-08,3638.10009765625,97
2025-09-09,3643.300048828125,535
2025-09-10,3643.60009765625,136
2025-09-11,3636.89990234375,307
2025-09-12,3649.39990234375,1300
2025-09-15,3682.199951171875,210
2025-09-16,3688.89990234375,373
2025-09-17,3681.800048828125,183
2025-09-18,3643.699951171875,80
2025-09-19,3671.5,211
2025-09-22,3740.699951171875,410
2025-09-23,3780.60009765625,627
2025-09-24,3732.10009765625,588
2025-09-25,3736.89990234375,1899
2025-09-26,3775.300048828125,19308
2025-09-29,3820.89990234375,8860
2025-09-30,3840.800048828125,1611
2025-10-01,3867.5,1778
2025-10-02,3839.699951171875,3418
2025-10-03,3880.800048828125,392
2025-10-06,3948.5,1267
2025-10-07,3976.60009765625,2903
2025-10-08,4043.300048828125,2179
2025-10-09,3946.300048828125,3130
2025-10-10,3975.89990234375,1697
2025-10-13,4108.60009765625,1697
2025-10-14,4138.7001953125,2424
2025-10-15,4176.89990234375,3287
2025-10-16,4280.2001953125,4705
2025-10-17,4189.89990234375,4060
2025-10-20,4336.39990234375,1750
2025-10-21,4087.699951171875,2943
2025-10-22,4044.39990234375,1237
2025-10-23,4125.5,354
2025-10-24,4118.39990234375,123
2025-10-27,4001.89990234375,220
2025-10-28,3966.199951171875,219
2025-10-29,3983.699951171875,1344
2025-10-30,4001.300048828125,935
2025-10-31,3982.199951171875,559
2025-11-03,4000.300048828125,0
2025-11-04,3947.699951171875,657
2025-11-05,3980.300048828125,559
2025-11-06,3979.89990234375,650
2025-11-07,3999.39990234375,245
2025-11-10,4111.7998046875,189
2025-11-11,4106.7998046875,569
2025-11-12,4204.39990234375,396
2025-11-13,4186.89990234375,167
2025-11-14,4087.60009765625,483
2025-11-17,4068.300048828125,1552
2025-11-18,4061.300048828125,1375
2025-11-19,4077.699951171875,486
2025-11-20,4056.5,202
2025-11-21,4076.699951171875,171
2025-11-24,4140.60009765625,15806
